t_s,C_center,C_surface,C_mean,R_m
129120.0,0.08421324836292951,0.07684876398790513,0.0804568590623302,0.01414362372329461
129180.0,0.08414032312335391,0.07679166059225946,0.08039201262887945,0.014142580006103887
129240.0,0.08406755268110351,0.07673467760659874,0.08032730339738482,0.014141537405881137
129300.0,0.08399493670755981,0.07667781477874279,0.08026273107849803,0.01414049592171972
129360.0,0.08392247487479626,0.0766210718570287,0.08019829538347238,0.01413945555271307
129420.0,0.08385016685557652,0.07656444859030968,0.08013399602416126,0.01413841629795468
129480.0,0.08377801232335275,0.07650794472795389,0.08006983271301668,0.014137378156538117
129540.0,0.08370601095226399,0.07645156001984328,0.08000580516308806,0.014136341127557022
129600.0,0.08363416241713445,0.07639529421637241,0.07994191308802058,0.01413530521010511
129660.0,0.08356246639347177,0.07633914706844729,0.07987815620205396,0.014134270403276163
129720.0,0.08349092255746539,0.07628311832748418,0.07981453422002087,0.014133236706164056
129780.0,0.08341953058598482,0.0762272077454085,0.07975104685734563,0.01413220411786274
129840.0,0.083348290156578,0.0761714150746536,0.07968769383004279,0.014131172637466233
129900.0,0.08327720094746957,0.07611574006815958,0.07962447485471563,0.014130142264068658
129960.0,0.08320626263755918,0.07606018247937217,0.07956138964855487,0.014129112996764212
130020.0,0.08313547490641983,0.07600474206224155,0.07949843792933715,0.014128084834647187
130080.0,0.08306483743429617,0.07594941857122114,0.07943561941542361,0.01412705777681196
130140.0,0.08299434990210279,0.07589421176126651,0.07937293382575857,0.014126031822353002
130200.0,0.08292401199142255,0.07583912138783415,0.07931038087986805,0.01412500697036488
130260.0,0.08285382338450492,0.0757841472068803,0.07924796029785834,0.014123983219942259
130320.0,0.08278378376426422,0.07572928897485982,0.07918567180041464,0.01412296057017989
130380.0,0.08271389281427799,0.07567454644872504,0.07912351510879956,0.014121939020172643
130440.0,0.08264415021878531,0.07561991938592448,0.07906148994485176,0.014120918569015477
130500.0,0.08257455566268503,0.07556540754440184,0.07899959603098462,0.01411989921580346
130560.0,0.08250510883153417,0.07551101068259472,0.07893783309018462,0.014118880959631768
130620.0,0.0824358094115462,0.07545672855943347,0.07887620084601007,0.014117863799595677
130680.0,0.08236665708958933,0.07540256093434006,0.07881469902258974,0.014116847734790586
130740.0,0.08229765155318487,0.07534850756722689,0.07875332734462123,0.014115832764311996
130800.0,0.08222879250445725,0.07529456822653992,0.07869208554828944,0.014114818887255527
130860.0,0.08216007964415015,0.07524074268004254,0.07863097336875613,0.014113806102716911
130920.0,0.08209151264054587,0.07518703067689478,0.07856999051583415,0.014112794409792007
130980.0,0.08202309118403889,0.07513343197911924,0.0785091367167003,0.01411178380750086
131040.0,0.08195481496567719,0.07507994634922824,0.07844841169910019,0.014110774294964995
131100.0,0.08188668367716072,0.07502657355022274,0.07838781519134702,0.014109765871320573
131160.0,0.08181869701083984,0.07497331334559124,0.07832734692232018,0.014108758535663495
131220.0,0.08175085465971374,0.07492016549930866,0.07826700662146399,0.014107752287089778
131280.0,0.08168315631742892,0.07486712977583528,0.07820679401878632,0.014106747124695559
131340.0,0.08161560167827756,0.07481420594011563,0.07814670884485735,0.014105743047577087
131400.0,0.08154819043719598,0.0747613937575774,0.07808675083080818,0.014104740054830747
131460.0,0.08148092228976313,0.07470869299413033,0.07802691970832953,0.014103738145553046
131520.0,0.08141379693219893,0.07465610341616509,0.0779672152096705,0.014102737318840609
131580.0,0.08134681406136277,0.07460362479055227,0.07790763706763706,0.0141017375737902
131640.0,0.08127997337475193,0.0745512568846412,0.077848185015591,0.014100738909498707
131700.0,0.08121327457050002,0.07449899946625889,0.07778885878744833,0.014099741325063158
